model,dataset,filename,num_detections,iou,accuracy,precision,recall,inference_time_sec
YOLO26+UNET,PennFudan,PennPed00042.png,2,0.9221939291055333,0.9901653247230964,0.9497960203147116,0.9694497556830253,0.3508598804473877
YOLO26+UNET,PennFudan,PennPed00038.png,1,0.9245599329421627,0.9929828209059958,0.9627582193773639,0.9588525065198493,0.2767503261566162
YOLO26+UNET,PennFudan,FudanPed00014.png,2,0.5851695727150795,0.9380181851495579,0.5875788825611821,0.9930415555700072,0.3741323947906494
YOLO26+UNET,PennFudan,PennPed00082.png,2,0.9052284101799596,0.9860674086945631,0.9164016601088772,0.9867099994196507,0.388136625289917
YOLO26+UNET,PennFudan,PennPed00014.png,5,0.9102245430809399,0.9784513877747473,0.9216598633700641,0.9865522627968577,0.7429714202880859
YOLO26+UNET,PennFudan,FudanPed00028.png,4,0.8905344299110801,0.9670186988524665,0.9071068657454635,0.9798971482000935,0.5000555515289307
YOLO26+UNET,PennFudan,PennPed00026.png,3,0.800698550813444,0.9700644270593649,0.8201989768697235,0.9711631363805276,0.39525604248046875
YOLO26+UNET,PennFudan,PennPed00040.png,1,0.9377985717803496,0.9909039840981765,0.9754623226269146,0.9604559669121355,0.19164443016052246
YOLO26+UNET,PennFudan,PennPed00012.png,2,0.4322339913336543,0.9416176743610372,0.4797595190380762,0.8135478024467603,0.26477503776550293
YOLO26+UNET,PennFudan,FudanPed00027.png,2,0.7827749453750911,0.967352635323737,0.8090966122961104,0.9600982654656444,0.3141803741455078
YOLO26+UNET,PennFudan,FudanPed00009.png,5,0.8445735870986488,0.9739155877404725,0.8517509157509158,0.990121269927783,0.5872390270233154
YOLO26+UNET,PennFudan,PennPed00007.png,6,0.864263412571059,0.9535343212399932,0.9134401745921145,0.9413605755551642,0.6483557224273682
YOLO26+UNET,PennFudan,FudanPed00001.png,2,0.939514392659578,0.9939056951379062,0.9585332882730653,0.9793177266763345,0.3252134323120117
YOLO26+UNET,PennFudan,PennPed00043.png,8,0.8696827124970837,0.9607736423220974,0.8823424987178982,0.9837698753051395,0.7907655239105225
YOLO26+UNET,PennFudan,FudanPed00069.png,1,0.9419270833333333,0.9933515197591044,0.9519673641268588,0.9889268626110731,0.18715715408325195
YOLO26+UNET,PennFudan,PennPed00063.png,5,0.6190135171426013,0.9145667447306791,0.6225616709681292,0.9908769583492548,0.5261132717132568
YOLO26+UNET,PennFudan,FudanPed00022.png,4,0.6285780284509808,0.9225846573583695,0.6379478763724455,0.97716731005177,0.48926234245300293
YOLO26+UNET,PennFudan,FudanPed00013.png,1,0.9544972297536249,0.9976223914061153,0.963813831686704,0.9899743244895464,0.17702698707580566
YOLO26+UNET,PennFudan,PennPed00067.png,3,0.8165775996437319,0.9719955804861465,0.8302111041937857,0.9802860197808073,0.35628437995910645
YOLO26+UNET,PennFudan,PennPed00076.png,1,0.9478358628442946,0.9922027290448343,0.9670796054140858,0.9794377323420075,0.19018268585205078
YOLO26+UNET,PennFudan,FudanPed00042.png,4,0.4329302523175894,0.8837972117549031,0.45006309148264984,0.9191766259704282,0.4559898376464844
YOLO26+UNET,PennFudan,FudanPed00025.png,7,0.8284091125002375,0.9424135182528296,0.8483315497616499,0.9724328664466054,0.7043881416320801
YOLO26+UNET,PennFudan,PennPed00010.png,7,0.7614760074465751,0.9092336700336701,0.878336340700703,0.8512645206216567,0.6949772834777832
YOLO26+UNET,PennFudan,PennPed00091.png,1,0.8957573334665934,0.982692818266295,0.9015239149021778,0.9929097656899131,0.18222355842590332
YOLO26+UNET,PennFudan,FudanPed00038.png,2,0.8624689826302729,0.9848163164671397,0.8755037783375315,0.9830304744396521,0.2671828269958496
YOLO26+UNET,PennFudan,FudanPed00012.png,2,0.9172042272852045,0.9865729611823362,0.9579630160550459,0.9556683708126273,0.2749168872833252
YOLO26+UNET,PennFudan,PennPed00051.png,5,0.8003591779416134,0.9502444868468433,0.8323339839636021,0.9542000708329309,0.5528109073638916
YOLO26+UNET,PennFudan,PennPed00074.png,3,0.8521273787526097,0.958008504606662,0.8863511557086516,0.9566517592542702,0.34885740280151367
YOLO26+UNET,PennFudan,PennPed00057.png,2,0.904901178764513,0.9841088830307159,0.954607077742976,0.945589256772401,0.2816619873046875
YOLO26+UNET,PennFudan,PennPed00022.png,6,0.7223511115643484,0.9515493271048827,0.7942895588915521,0.8885874678542307,0.633521556854248
YOLO26+UNET,PennFudan,PennPed00059.png,3,0.8706728004600345,0.978650490782404,0.9022166607079013,0.9613943742459838,0.37595295906066895
YOLO26+UNET,PennFudan,FudanPed00007.png,5,0.7149786699582061,0.935907362229072,0.7179793850302266,0.99418849744053,0.5688858032226562
YOLO26+UNET,PennFudan,FudanPed00073.png,2,0.9482878053187965,0.9915114301534568,0.9593540524070688,0.987982051523424,0.26410555839538574
YOLO26+UNET,PennFudan,FudanPed00066.png,1,0.9166872377190817,0.9895543175487466,0.9275054636278489,0.9874360167519777,0.19182062149047852
YOLO26+UNET,PennFudan,PennPed00025.png,4,0.8726575809199318,0.9781170991350632,0.8903416946474423,0.9777459656428943,0.43364810943603516
YOLO26+UNET,PennFudan,PennPed00072.png,2,0.8153504965769935,0.9534640713469904,0.8717076439358796,0.9265326247740098,0.26200342178344727
YOLO26+UNET,PennFudan,PennPed00024.png,1,0.9204515482407554,0.9903983292583537,0.9271519659936238,0.9922097122711248,0.2211313247680664
YOLO26+UNET,PennFudan,PennPed00009.png,11,0.6141911771202389,0.8368345140944011,0.6501075469933602,0.9174728450949596,1.0505633354187012
YOLO26+UNET,PennFudan,FudanPed00011.png,1,0.9495711242876058,0.9954559601618426,0.9651278450646539,0.9833084947839046,0.18890047073364258
YOLO26+UNET,PennFudan,FudanPed00063.png,6,0.860916841084282,0.9687689856368285,0.8656452109639667,0.9936953127301653,0.6210370063781738
YOLO26+UNET,PennFudan,FudanPed00062.png,2,0.9503634748856945,0.9893110629436015,0.9630024665022332,0.9863780683486395,0.27423715591430664
YOLO26+UNET,PennFudan,PennPed00041.png,1,0.9267510027769207,0.9950652698095951,0.9412723284236917,0.983625884202253,0.17540740966796875
YOLO26+UNET,PennFudan,PennPed00015.png,4,0.812051584084199,0.9690394831009909,0.8222146497111259,0.985006772930545,0.4757201671600342
YOLO26+UNET,PennFudan,FudanPed00030.png,1,0.9295664335664335,0.9929583766793069,0.9428587641150769,0.9850604695281006,0.18378114700317383
YOLO26+UNET,PennFudan,FudanPed00003.png,1,0.7666441101452293,0.978968356360395,0.7754844144903117,0.9853482304141299,0.18826746940612793
YOLO26+UNET,PennFudan,PennPed00070.png,2,0.950207468879668,0.9882156106786936,0.9676561114299129,0.9813766467382679,0.2689635753631592
YOLO26+UNET,PennFudan,PennPed00048.png,5,0.8939646662354903,0.9612417568744557,0.9104050751390983,0.9801996827470374,0.5727877616882324
YOLO26+UNET,PennFudan,PennPed00062.png,6,0.793812614646536,0.9062850729517397,0.8130724621971709,0.9710241860665818,0.6127626895904541
YOLO26+UNET,PennFudan,FudanPed00056.png,3,0.8738578790109557,0.9822521438471966,0.9573736271556326,0.909234269751515,0.3744807243347168
YOLO26+UNET,PennFudan,PennPed00002.png,9,0.6648281671496906,0.8813145839991477,0.681741991876189,0.9640250109059183,0.867619514465332
YOLO26+UNET,PennFudan,PennPed00019.png,8,0.8430301710418308,0.9368036258666739,0.8687913264161041,0.9660223062599581,0.776644229888916
YOLO26+UNET,PennFudan,PennPed00081.png,3,0.8982147081839524,0.9742385091222301,0.9539972166383176,0.9388803287108372,0.3789520263671875
YOLO26+UNET,PennFudan,PennPed00011.png,2,0.9001420742845545,0.9871209582844698,0.9377114343707713,0.9573870995596235,0.26056528091430664
YOLO26+UNET,PennFudan,FudanPed00055.png,1,0.934514162228911,0.9921598521598521,0.9433602119122746,0.9900654129190515,0.21364116668701172
YOLO26+UNET,PennFudan,PennPed00095.png,2,0.9285669567394979,0.9881145833333334,0.95783015821763,0.9681462140992168,0.2603590488433838
YOLO26+UNET,PennFudan,PennPed00016.png,5,0.8807952254851587,0.9778656010450724,0.9180604762297108,0.9559454358270418,0.5479915142059326
YOLO26+UNET,PennFudan,FudanPed00024.png,1,0.8982436747727831,0.9908484386563718,0.9224317336192218,0.97163544572871,0.1834874153137207
YOLO26+UNET,PennFudan,PennPed00030.png,5,0.87916533229955,0.9577214771829258,0.935286628772257,0.9361091170136396,0.5183448791503906
YOLO26+UNET,PennFudan,PennPed00064.png,3,0.7458864610338077,0.9596860835991271,0.7680322510350839,0.9627808509185276,0.35461878776550293
YOLO26+UNET,PennFudan,PennPed00066.png,3,0.6312061969752859,0.9065607476635514,0.9250396424967565,0.6652326033432681,0.3561887741088867
YOLO26+UNET,PennFudan,PennPed00033.png,9,0.7187810533289168,0.8900063818659041,0.7442551732022408,0.9545454545454546,0.889228105545044
YOLO26+UNET,PennFudan,FudanPed00041.png,6,0.5638896235563784,0.9116213589457737,0.570773321911085,0.9790601561304149,0.6278700828552246
YOLO26+UNET,PennFudan,PennPed00056.png,9,0.7535881174899867,0.9544922175990137,0.7575071296762288,0.9931815682393049,0.8672513961791992
YOLO26+UNET,PennFudan,FudanPed00018.png,1,0.9251632345554998,0.9872367503273413,0.9742349829996222,0.9483671668137688,0.21578168869018555
YOLO26+UNET,PennFudan,PennPed00060.png,5,0.9272231037765789,0.9676567656765677,0.9536505118027993,0.9709803921568627,0.5175831317901611
YOLO26+UNET,PennFudan,FudanPed00048.png,11,0.7255016069940614,0.9365350213292968,0.7363016456817633,0.9801829813087453,1.1187033653259277
YOLO26+UNET,PennFudan,FudanPed00057.png,7,0.8611838302791283,0.9673566306094549,0.8711802032639163,0.9868510762637577,0.7517893314361572
